קטגוריה,תיאור,עדיפות,משך זמן משוער בדקות,סטטוס,תאריך יעד,תאריך סיום,Item ID (auto generated)
קליכיף שיווק,עדכון במיי גפן,3,25,,2025-07-21 09:00,,
קליכיף שיווק,"תוכנית זה""ב בני ברק / אשדוד/ אלעד וכל הערים החרדיות",3,60,,2025-07-21 09:30,,
קליכיף שיווק,"קצנלבויגן בנות חיל ופרויקט בריאות. רפול מ מתנסי""ם",3,10,לקראת סיום,2025-02-03 09:00,,
קליכיף שיווק,תוכנית מוזלת לקייטנות פסח,4,300,,,,
קליכיף שיווק,פנחס ארליך,3,15,,,,
קליכיף שיווק,לשלוח לתתים על כוכבי אחר,3,25,,,,1874044508
קליכיף שיווק,פיתוח תוכניות זולות עם בינגו,3,120,,,,1874166794
קליכיף שיווק,"הגשה לפמי
מפעל הפיס
תרבות וכו'",3,45,,,,1874167541
קליכיף שיווק,הגשה למערכת מרכבה,3,,,,,1876678544
קליכיף שיווק,אתר להכנסת פרסום,3,,,,,1975888086
רעיונות,"פרוייקט הידען, סטטוס וחידון שבועי נושא פרסים",4,300,,,,1787808135
רעיונות,פעמונים,3,,בוצע,2025-01-24,,
רעיונות,"משחנוכה / חנוקליק, משחק קופסא לחנוכה",2,,,,,
רעיונות,"פרוייקט הידען, סטטוס וחידון שבועי נושא פרסים",2,240,,,,
רעיונות,פיתוח תוכנית בסגנון של שלמה מילר,1,300,,,,
רעיונות,פיתוח תוכנית עם האקורדיון על שירה ונגינה,1,300,,,,
רעיונות,להוסיף לערכת המשחקים את המשחק של זיהוי דמויות ולחשוב על משימה שדומה לתחרות של הפסטה והמרשמלו,3,,,1789719805,,
רעיונות,לתת לסביבון תפקיד משמעותי במשחק ולשלב אותו במשימות,3,,,1789721351,,
רעיונות,"לשמוע חוות דעת מאנשים כמו ישראל מביתר טויס, חיים רוזנשטיין, אנשים שיש להם ידע וניסיון בתחום המשחק.",3,,,1789722237,,
רעיונות,"עיצוב חומרים, יתכן שאפשר לבד בקנבה ולא צריך גרפיקאי, או לקחת גרפיקאי רק על הבסיס ולא על כל  פיפס וכרטיס.",3,,,1789722587,,
רעיונות,לברר מה הם השלבים בייצור המשחקים,3,,,1789722653,,
רעיונות,לשבת עם יועץ עסקי או חברת תפוצה ולבחון את המודל העסקי אולי לחיים הפקות.,3,,,1789722746,,
רעיונות,"לבדוק את הבז קליק הקטנים הלא אלחוטי מבחינת מחיר, גודל, שילוב במהלך המשחק.",3,,,1789722924,,
רעיונות,ייצור בארץ של דגם אבטאוס,3,,,1789723262,,
רעיונות,ייצור בסין של דגם ראשוני לאישור,3,,,1789724206,,1804642450
רעיונות,אישור וכניסה לייצור המוני,3,,,1789724279,,1873905703
רעיונות,הודעה וסרטון לשיווק כאן בארץ בסוף חודש חשוון,3,,,1789724461,,1873906428
רעיונות,תכנון נקודות הפצה בכל הארץ,3,,,1789724618,,1918059344
רעיונות,הקמת אתר נחיתה ואפשרות משלוח עד הבית / משלוח עם חברת שילוח,3,,,1789724869,,1807261051
רעיונות,ייצור מתקן להסיבה שמתחבר לכל כסא,3,,,2025-04-22,,1802589335
רעיונות,לבדוק רעיון של השכרת רכב,3,,,,,1804660066
רעיונות,לנסוע לקרויזר בטלז סטון,3,,,,,1791561043
רעיונות,דיגטציה תמונות,3,,,,,2068228746
רעיונות,מחירון באתר או במייל חוזר,3,,,,,2068229010
